20000
1,outside,Room Description,
NORTH,0,North Discription
SOUTH,201,South Descripton
EAST,2,East Description
WEST,0,West Description
2,outside,Room Description,
NORTH,0,North Discription
SOUTH,202,South Descripton
EAST,3,East Description
WEST,1,West Description
3,outside,Room Description,
NORTH,0,North Discription
SOUTH,203,South Descripton
EAST,4,East Description
WEST,2,West Description
4,outside,Room Description,
NORTH,0,North Discription
SOUTH,204,South Descripton
EAST,5,East Description
WEST,3,West Description
5,outside,Room Description,
NORTH,0,North Discription
SOUTH,205,South Descripton
EAST,6,East Description
WEST,4,West Description
6,outside,Room Description,
NORTH,0,North Discription
SOUTH,206,South Descripton
EAST,7,East Description
WEST,5,West Description
7,outside,Room Description,
NORTH,0,North Discription
SOUTH,207,South Descripton
EAST,8,East Description
WEST,6,West Description
8,outside,Room Description,
NORTH,0,North Discription
SOUTH,208,South Descripton
EAST,9,East Description
WEST,7,West Description
9,outside,Room Description,
NORTH,0,North Discription
SOUTH,209,South Descripton
EAST,10,East Description
WEST,8,West Description
10,outside,Room Description,
NORTH,0,North Discription
SOUTH,210,South Descripton
EAST,11,East Description
WEST,9,West Description
11,outside,Room Description,
NORTH,0,North Discription
SOUTH,211,South Descripton
EAST,12,East Description
WEST,10,West Description
12,outside,Room Description,
NORTH,0,North Discription
SOUTH,212,South Descripton
EAST,13,East Description
WEST,11,West Description
13,outside,Room Description,
NORTH,0,North Discription
SOUTH,213,South Descripton
EAST,14,East Description
WEST,12,West Description
14,outside,Room Description,
NORTH,0,North Discription
SOUTH,214,South Descripton
EAST,15,East Description
WEST,13,West Description
15,outside,Room Description,
NORTH,0,North Discription
SOUTH,215,South Descripton
EAST,16,East Description
WEST,14,West Description
16,outside,Room Description,
NORTH,0,North Discription
SOUTH,216,South Descripton
EAST,17,East Description
WEST,15,West Description
17,outside,Room Description,
NORTH,0,North Discription
SOUTH,217,South Descripton
EAST,18,East Description
WEST,16,West Description
18,outside,Room Description,
NORTH,0,North Discription
SOUTH,218,South Descripton
EAST,19,East Description
WEST,17,West Description
19,outside,Room Description,
NORTH,0,North Discription
SOUTH,219,South Descripton
EAST,20,East Description
WEST,18,West Description
20,outside,Room Description,
NORTH,0,North Discription
SOUTH,220,South Descripton
EAST,21,East Description
WEST,19,West Description
21,outside,Room Description,
NORTH,0,North Discription
SOUTH,221,South Descripton
EAST,22,East Description
WEST,20,West Description
22,outside,Room Description,
NORTH,0,North Discription
SOUTH,222,South Descripton
EAST,23,East Description
WEST,21,West Description
23,outside,Room Description,
NORTH,0,North Discription
SOUTH,223,South Descripton
EAST,24,East Description
WEST,22,West Description
24,outside,Room Description,
NORTH,0,North Discription
SOUTH,224,South Descripton
EAST,25,East Description
WEST,23,West Description
25,outside,Room Description,
NORTH,0,North Discription
SOUTH,225,South Descripton
EAST,26,East Description
WEST,24,West Description
26,outside,Room Description,
NORTH,0,North Discription
SOUTH,226,South Descripton
EAST,27,East Description
WEST,25,West Description
27,outside,Room Description,
NORTH,0,North Discription
SOUTH,227,South Descripton
EAST,28,East Description
WEST,26,West Description
28,outside,Room Description,
NORTH,0,North Discription
SOUTH,228,South Descripton
EAST,29,East Description
WEST,27,West Description
29,outside,Room Description,
NORTH,0,North Discription
SOUTH,229,South Descripton
EAST,30,East Description
WEST,28,West Description
30,outside,Room Description,
NORTH,0,North Discription
SOUTH,230,South Descripton
EAST,31,East Description
WEST,29,West Description
31,outside,Room Description,
NORTH,0,North Discription
SOUTH,231,South Descripton
EAST,32,East Description
WEST,30,West Description
32,outside,Room Description,
NORTH,0,North Discription
SOUTH,232,South Descripton
EAST,33,East Description
WEST,31,West Description
33,outside,Room Description,
NORTH,0,North Discription
SOUTH,233,South Descripton
EAST,34,East Description
WEST,32,West Description
34,outside,Room Description,
NORTH,0,North Discription
SOUTH,234,South Descripton
EAST,35,East Description
WEST,33,West Description
35,outside,Room Description,
NORTH,0,North Discription
SOUTH,235,South Descripton
EAST,36,East Description
WEST,34,West Description
36,outside,Room Description,
NORTH,0,North Discription
SOUTH,236,South Descripton
EAST,37,East Description
WEST,35,West Description
37,outside,Room Description,
NORTH,0,North Discription
SOUTH,237,South Descripton
EAST,38,East Description
WEST,36,West Description
38,outside,Room Description,
NORTH,0,North Discription
SOUTH,238,South Descripton
EAST,39,East Description
WEST,37,West Description
39,outside,Room Description,
NORTH,0,North Discription
SOUTH,239,South Descripton
EAST,40,East Description
WEST,38,West Description
40,outside,Room Description,
NORTH,0,North Discription
SOUTH,240,South Descripton
EAST,41,East Description
WEST,39,West Description
41,outside,Room Description,
NORTH,0,North Discription
SOUTH,241,South Descripton
EAST,42,East Description
WEST,40,West Description
42,outside,Room Description,
NORTH,0,North Discription
SOUTH,242,South Descripton
EAST,43,East Description
WEST,41,West Description
43,outside,Room Description,
NORTH,0,North Discription
SOUTH,243,South Descripton
EAST,44,East Description
WEST,42,West Description
44,outside,Room Description,
NORTH,0,North Discription
SOUTH,244,South Descripton
EAST,45,East Description
WEST,43,West Description
45,outside,Room Description,
NORTH,0,North Discription
SOUTH,245,South Descripton
EAST,46,East Description
WEST,44,West Description
46,outside,Room Description,
NORTH,0,North Discription
SOUTH,246,South Descripton
EAST,47,East Description
WEST,45,West Description
47,outside,Room Description,
NORTH,0,North Discription
SOUTH,247,South Descripton
EAST,48,East Description
WEST,46,West Description
48,outside,Room Description,
NORTH,0,North Discription
SOUTH,248,South Descripton
EAST,49,East Description
WEST,47,West Description
49,outside,Room Description,
NORTH,0,North Discription
SOUTH,249,South Descripton
EAST,50,East Description
WEST,48,West Description
50,outside,Room Description,
NORTH,0,North Discription
SOUTH,250,South Descripton
EAST,51,East Description
WEST,49,West Description
51,outside,Room Description,
NORTH,0,North Discription
