49
1,outside,Room Description, 
NORTH,0,North Discription
SOUTH,8,South Descripton
EAST,2,East Description
WEST,0,West Description
2,outside,Room Description, 
NORTH,0,North Discription
SOUTH,9,South Descripton
EAST,3,East Description
WEST,1,West Description
3,outside,Room Description, 
NORTH,0,North Discription
SOUTH,10,South Descripton
EAST,4,East Description
WEST,2,West Description
4,outside,Room Description, 
NORTH,0,North Discription
SOUTH,11,South Descripton
EAST,5,East Description
WEST,3,West Description
5,outside,Room Description, 
NORTH,0,North Discription
SOUTH,12,South Descripton
EAST,6,East Description
WEST,4,West Description
6,outside,Room Description, 
NORTH,0,North Discription
SOUTH,13,South Descripton
EAST,7,East Description
WEST,5,West Description
7,outside,Room Description, 
NORTH,0,North Discription
SOUTH,14,South Descripton
EAST,0,East Description
WEST,6,West Description
8,outside,Room Description, 
NORTH,8,North Discription
SOUTH,15,South Descripton
EAST,9,East Description
WEST,0,West Description
9,outside,Room Description, 
NORTH,9,North Discription
SOUTH,16,South Descripton
EAST,10,East Description
WEST,8,West Description
10,outside,Room Description, 
NORTH,10,North Discription
SOUTH,17,South Descripton
EAST,11,East Description
WEST,9,West Description
11,outside,Room Description, 
NORTH,11,North Discription
SOUTH,18,South Descripton
EAST,12,East Description
WEST,10,West Description
12,outside,Room Description, 
NORTH,12,North Discription
SOUTH,19,South Descripton
EAST,13,East Description
WEST,11,West Description
13,outside,Room Description, 
NORTH,13,North Discription
SOUTH,20,South Descripton
EAST,14,East Description
WEST,12,West Description
14,outside,Room Description, 
NORTH,14,North Discription
SOUTH,21,South Descripton
EAST,0,East Description
WEST,13,West Description
15,outside,Room Description, 
NORTH,15,North Discription
SOUTH,22,South Descripton
EAST,16,East Description
WEST,0,West Description
16,outside,Room Description, 
NORTH,16,North Discription
SOUTH,23,South Descripton
EAST,17,East Description
WEST,15,West Description
17,outside,Room Description, 
NORTH,17,North Discription
SOUTH,24,South Descripton
EAST,18,East Description
WEST,16,West Description
18,outside,Room Description, 
NORTH,18,North Discription
SOUTH,25,South Descripton
EAST,19,East Description
WEST,17,West Description
19,outside,Room Description, 
NORTH,19,North Discription
SOUTH,26,South Descripton
EAST,20,East Description
WEST,18,West Description
20,outside,Room Description, 
NORTH,20,North Discription
SOUTH,27,South Descripton
EAST,21,East Description
WEST,19,West Description
21,outside,Room Description, 
NORTH,21,North Discription
SOUTH,28,South Descripton
EAST,0,East Description
WEST,20,West Description
22,outside,Room Description, 
NORTH,22,North Discription
SOUTH,29,South Descripton
EAST,23,East Description
WEST,0,West Description
23,outside,Room Description, 
NORTH,23,North Discription
SOUTH,30,South Descripton
EAST,24,East Description
WEST,22,West Description
24,outside,Room Description, 
NORTH,24,North Discription
SOUTH,31,South Descripton
EAST,25,East Description
WEST,23,West Description
25,outside,Room Description, 
NORTH,25,North Discription
SOUTH,32,South Descripton
EAST,26,East Description
WEST,24,West Description
26,outside,Room Description, 
NORTH,26,North Discription
SOUTH,33,South Descripton
EAST,27,East Description
WEST,25,West Description
27,outside,Room Description, 
NORTH,27,North Discription
SOUTH,34,South Descripton
EAST,28,East Description
WEST,26,West Description
28,outside,Room Description, 
NORTH,28,North Discription
SOUTH,35,South Descripton
EAST,0,East Description
WEST,27,West Description
29,outside,Room Description, 
NORTH,29,North Discription
SOUTH,36,South Descripton
EAST,30,East Description
WEST,0,West Description
30,outside,Room Description, 
NORTH,30,North Discription
SOUTH,37,South Descripton
EAST,31,East Description
WEST,29,West Description
31,outside,Room Description, 
NORTH,31,North Discription
SOUTH,38,South Descripton
EAST,32,East Description
WEST,30,West Description
32,outside,Room Description, 
NORTH,32,North Discription
SOUTH,39,South Descripton
EAST,33,East Description
WEST,31,West Description
33,outside,Room Description, 
NORTH,33,North Discription
SOUTH,40,South Descripton
EAST,34,East Description
WEST,32,West Description
34,outside,Room Description, 
NORTH,34,North Discription
SOUTH,41,South Descripton
EAST,35,East Description
WEST,33,West Description
35,outside,Room Description, 
NORTH,35,North Discription
SOUTH,42,South Descripton
EAST,0,East Description
WEST,34,West Description
36,outside,Room Description, 
NORTH,36,North Discription
SOUTH,43,South Descripton
EAST,37,East Description
WEST,0,West Description
37,outside,Room Description, 
NORTH,37,North Discription
SOUTH,44,South Descripton
EAST,38,East Description
WEST,36,West Description
38,outside,Room Description, 
NORTH,38,North Discription
SOUTH,45,South Descripton
EAST,39,East Description
WEST,37,West Description
39,outside,Room Description, 
NORTH,39,North Discription
SOUTH,46,South Descripton
EAST,40,East Description
WEST,38,West Description
40,outside,Room Description, 
NORTH,40,North Discription
SOUTH,47,South Descripton
EAST,41,East Description
WEST,39,West Description
41,outside,Room Description, 
NORTH,41,North Discription
SOUTH,48,South Descripton
EAST,42,East Description
WEST,40,West Description
42,outside,Room Description, 
NORTH,42,North Discription
SOUTH,49,South Descripton
EAST,0,East Description
WEST,41,West Description
43,outside,Room Description, 
NORTH,43,North Discription
SOUTH,0,South Descripton
EAST,44,East Description
WEST,0,West Description
44,outside,Room Description, 
NORTH,44,North Discription
SOUTH,0,South Descripton
EAST,45,East Description
WEST,43,West Description
45,outside,Room Description, 
NORTH,45,North Discription
SOUTH,0,South Descripton
EAST,46,East Description
WEST,44,West Description
46,outside,Room Description, 
NORTH,46,North Discription
SOUTH,0,South Descripton
EAST,47,East Description
WEST,45,West Description
47,outside,Room Description, 
NORTH,47,North Discription
SOUTH,0,South Descripton
EAST,48,East Description
WEST,46,West Description
48,outside,Room Description, 
NORTH,48,North Discription
SOUTH,0,South Descripton
EAST,49,East Description
WEST,47,West Description
49,outside,Room Description, 
NORTH,49,North Discription
SOUTH,0,South Descripton
EAST,0,East Description
WEST,48,West Description
